O*NET-SOC Code,risacLetters,ProblemSolving_LV,CriticalThinking_LV,ProblemSolving_Score100,CriticalThinking_Score100,ProblemSolving_ReqLevel,CriticalThinking_ReqLevel
17-2199.09,IR,4.12,4.88,58.85714285714286,69.71428571428572,Mid,Mid
17-2199.10,RI,4.0,4.5,57.14285714285714,64.28571428571429,Mid,Mid
17-2199.11,RI,4.0,4.0,57.14285714285714,57.14285714285714,Mid,Mid
17-3011.00,RC,3.75,3.62,53.57142857142857,51.714285714285715,Mid,Mid
17-3012.00,RC,3.25,3.62,46.42857142857143,51.714285714285715,Mid,Mid
17-3013.00,RC,3.12,3.25,44.57142857142857,46.42857142857143,Mid,Mid
17-3021.00,RC,3.38,4.0,48.285714285714285,57.14285714285714,Mid,Mid
17-3022.00,RI,3.25,3.62,46.42857142857143,51.714285714285715,Mid,Mid
17-3023.00,RI,3.25,3.75,46.42857142857143,53.57142857142857,Mid,Mid
17-3024.00,RC,3.12,3.75,44.57142857142857,53.57142857142857,Mid,Mid
17-3024.01,RC,3.62,4.0,51.714285714285715,57.14285714285714,Mid,Mid
17-3025.00,RI,3.38,4.0,48.285714285714285,57.14285714285714,Mid,Mid
17-3026.00,RC,3.88,3.88,55.42857142857143,55.42857142857143,Mid,Mid
17-3026.01,RI,3.38,3.75,48.285714285714285,53.57142857142857,Mid,Mid
17-3027.00,RI,3.5,3.88,50.0,55.42857142857143,Mid,Mid
17-3027.01,RI,3.25,3.38,46.42857142857143,48.285714285714285,Mid,Mid
17-3028.00,RC,0.0,0.0,0.0,0.0,Low,Low
17-3029.01,RI,3.0,3.62,42.857142857142854,51.714285714285715,Mid,Mid
17-3029.08,RC,3.25,3.62,46.42857142857143,51.714285714285715,Mid,Mid
17-3031.00,RC,3.12,3.25,44.57142857142857,46.42857142857143,Mid,Mid
19-1011.00,IR,4.12,4.25,58.85714285714286,60.71428571428571,Mid,Mid
19-1012.00,IR,3.88,4.25,55.42857142857143,60.71428571428571,Mid,Mid
19-1013.00,IR,4.25,4.38,60.71428571428571,62.57142857142857,Mid,Mid
19-1021.00,IR,4.25,5.12,60.71428571428571,73.14285714285714,Mid,Advanced
19-1022.00,IR,4.0,4.62,57.14285714285714,66.0,Mid,Mid
19-1023.00,IR,3.88,4.0,55.42857142857143,57.14285714285714,Mid,Mid
19-1029.01,IC,4.25,4.38,60.71428571428571,62.57142857142857,Mid,Mid
19-1029.02,IR,4.12,4.88,58.85714285714286,69.71428571428572,Mid,Mid
19-1029.03,IC,4.0,4.38,57.14285714285714,62.57142857142857,Mid,Mid
19-1029.04,IC,4.25,4.5,60.71428571428571,64.28571428571429,Mid,Mid
19-1031.00,IR,3.75,3.75,53.57142857142857,53.57142857142857,Mid,Mid
19-1031.02,RI,4.12,4.0,58.85714285714286,57.14285714285714,Mid,Mid
19-1031.03,SI,3.25,3.88,46.42857142857143,55.42857142857143,Mid,Mid
19-1032.00,RI,4.12,4.0,58.85714285714286,57.14285714285714,Mid,Mid
19-1041.00,IS,4.5,4.62,64.28571428571429,66.0,Mid,Mid
19-1042.00,IR,4.62,4.75,66.0,67.85714285714286,Mid,Mid
19-2011.00,IR,4.0,4.12,57.14285714285714,58.85714285714286,Mid,Mid
19-2012.00,IR,4.88,4.88,69.71428571428572,69.71428571428572,Mid,Mid
19-2021.00,IR,4.0,4.12,57.14285714285714,58.85714285714286,Mid,Mid
19-2031.00,IR,4.12,4.25,58.85714285714286,60.71428571428571,Mid,Mid
19-2032.00,IR,4.12,4.25,58.85714285714286,60.71428571428571,Mid,Mid
19-2041.00,IR,4.0,4.25,57.14285714285714,60.71428571428571,Mid,Mid
19-2041.01,IE,4.12,4.0,58.85714285714286,57.14285714285714,Mid,Mid
19-2041.02,IR,4.0,4.12,57.14285714285714,58.85714285714286,Mid,Mid
19-2041.03,IR,4.0,4.25,57.14285714285714,60.71428571428571,Mid,Mid
19-2042.00,IR,4.12,4.25,58.85714285714286,60.71428571428571,Mid,Mid
19-2043.00,IR,4.12,4.5,58.85714285714286,64.28571428571429,Mid,Mid
19-2099.01,IR,4.12,4.38,58.85714285714286,62.57142857142857,Mid,Mid
19-3011.00,IC,4.12,4.75,58.85714285714286,67.85714285714286,Mid,Mid
19-3011.01,IE,3.88,4.25,55.42857142857143,60.71428571428571,Mid,Mid
19-3022.00,IC,3.75,4.25,53.57142857142857,60.71428571428571,Mid,Mid
19-3032.00,IE,4.12,4.5,58.85714285714286,64.28571428571429,Mid,Mid
19-3033.00,SI,3.75,4.38,53.57142857142857,62.57142857142857,Mid,Mid
19-3034.00,SI,4.0,4.12,57.14285714285714,58.85714285714286,Mid,Mid
19-3039.02,IS,4.62,4.62,66.0,66.0,Mid,Mid
19-3039.03,IS,4.12,4.38,58.85714285714286,62.57142857142857,Mid,Mid
19-3041.00,IS,3.88,4.38,55.42857142857143,62.57142857142857,Mid,Mid
19-3051.00,IE,4.12,4.25,58.85714285714286,60.71428571428571,Mid,Mid
19-3091.00,IR,3.88,4.75,55.42857142857143,67.85714285714286,Mid,Mid
19-3092.00,IR,3.62,4.0,51.714285714285715,57.14285714285714,Mid,Mid
19-3093.00,IC,3.12,4.12,44.57142857142857,58.85714285714286,Mid,Mid
19-3094.00,IA,3.75,4.75,53.57142857142857,67.85714285714286,Mid,Mid
19-3099.01,IC,4.12,4.25,58.85714285714286,60.71428571428571,Mid,Mid
